"timestamp","id","type","alarm_status","cpu_usage","memory_usage","latency_avg","packet_loss_rate","is_overloaded"
"2025-06-29T20:58:25.458Z","AMF_004","Node","GREEN",29.26,40.86,17.11,1.77,false
"2025-06-29T20:58:25.458Z","gNB_001","Node","RED",100,78.14,25.36,1.77,true
"2025-06-29T20:58:25.458Z","gNB_012","Node","RED",100,46.61,19.41,1.9,true
"2025-06-29T20:58:25.458Z","gNB_002","Node","GREEN",27.58,30.63,19,1.1,false
"2025-06-29T20:58:25.458Z","FIREWALL_001","Node","RED",100,27.85,28,1.98,true
"2025-06-29T20:58:25.458Z","AMF_002","Node","RED",100,70.84,16.81,1.49,true
"2025-06-29T20:58:25.458Z","gNB_003","Node","RED",100,35.12,18.2,1.4,true
"2025-06-29T20:58:25.458Z","gNB_004","Node","GREEN",59.19,84.63,15.05,0.91,false
"2025-06-29T20:58:25.458Z","FIREWALL_005","Node","GREEN",66.17,36.93,14.57,0.93,false
"2025-06-29T20:58:25.458Z","gNB_005","Node","YELLOW",55.61,57.62,27.5,1.57,false
"2025-06-29T20:58:25.458Z","AMF_001","Node","RED",100,44.75,23.18,2,true
"2025-06-29T20:58:25.458Z","MONITOR_004","Node","GREEN",24.23,66.81,11.68,1.32,false
"2025-06-29T20:58:25.458Z","gNB_009","Node","YELLOW",67.3,64.03,29.29,1.9,false
"2025-06-29T20:58:25.458Z","gNB_006","Node","YELLOW",51.62,27.88,29.2,2.18,false
"2025-06-29T20:58:25.458Z","gNB_007","Node","RED",100,46.66,14.05,1.22,true
"2025-06-29T20:58:25.458Z","UPF_001","Node","GREEN",24.7,70.41,17.55,1.37,false
"2025-06-29T20:58:25.458Z","gNB_008","Node","RED",100,28.99,12.96,0.72,true
"2025-06-29T20:58:25.458Z","MONITOR_003","Node","GREEN",31.01,58.42,10.78,0.58,false
"2025-06-29T20:58:25.458Z","EDGE_DC_004","Node","YELLOW",56.65,77.55,39.78,2.59,false
"2025-06-29T20:58:25.458Z","EDGE_DC_006","Node","GREEN",25.9,53.68,23.98,1.54,false
"2025-06-29T20:58:25.458Z","AMF_007","Node","RED",100,41.91,15.01,0.91,true
"2025-06-29T20:58:25.458Z","gNB_010","Node","YELLOW",24.23,27.33,25.47,2.13,false
"2025-06-29T20:58:25.458Z","gNB_013","Node","RED",98.52,45.24,20.62,1.85,true
"2025-06-29T20:58:25.458Z","SMF_003","Node","GREEN",30.26,41.94,10.23,1.23,false
"2025-06-29T20:58:25.458Z","CORE_DC_003","Node","RED",100,66.54,19.34,1.52,true
"2025-06-29T20:58:25.458Z","gNB_014","Node","GREEN",32.76,41.04,16.32,0.82,false
"2025-06-29T20:58:25.458Z","UPF_010","Node","YELLOW",87.58,54.51,19.45,1.21,false
"2025-06-29T20:58:25.458Z","gNB_015","Node","GREEN",25.18,38.73,14.26,0.97,false
"2025-06-29T20:58:25.458Z","gNB_017","Node","RED",100,56.77,15.83,0.96,true
"2025-06-29T20:58:25.458Z","AMF_003","Node","YELLOW",70.57,50.37,13.51,1.17,false
"2025-06-29T20:58:25.458Z","gNB_016","Node","YELLOW",47.69,33.31,27.94,1.97,false
"2025-06-29T20:58:25.458Z","AMF_008","Node","RED",100,27.63,26.94,1.71,true
"2025-06-29T20:58:25.458Z","gNB_018","Node","GREEN",58.6,27.98,12.63,1.05,false
"2025-06-29T20:58:25.458Z","UPF_003","Node","YELLOW",86.01,39.38,12.09,1.15,false
"2025-06-29T20:58:25.458Z","SMF_002","Node","YELLOW",71.06,46.3,13.85,0.85,false
"2025-06-29T20:58:25.458Z","gNB_020","Node","GREEN",29.76,81.09,17.18,1.73,false
